INFO  - 2014-01-30 14:26:05.331; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072754118656)]} 0 1
INFO  - 2014-01-30 14:26:05.338; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072761458688)]} 0 0
INFO  - 2014-01-30 14:26:05.345; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072768798720)]} 0 0
INFO  - 2014-01-30 14:26:05.352; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072776138752)]} 0 0
INFO  - 2014-01-30 14:26:05.360; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072783478784)]} 0 1
INFO  - 2014-01-30 14:26:05.367; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072790818816)]} 0 1
INFO  - 2014-01-30 14:26:05.374; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072799207424)]} 0 0
INFO  - 2014-01-30 14:26:05.381; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072806547456)]} 0 0
INFO  - 2014-01-30 14:26:05.389; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072814936064)]} 0 0
INFO  - 2014-01-30 14:26:05.396; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072822276096)]} 0 0
INFO  - 2014-01-30 14:26:05.403; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072829616128)]} 0 0
INFO  - 2014-01-30 14:26:05.411; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072838004736)]} 0 0
INFO  - 2014-01-30 14:26:05.418; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072845344768)]} 0 0
INFO  - 2014-01-30 14:26:05.425; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072852684800)]} 0 0
INFO  - 2014-01-30 14:26:05.432; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072860024832)]} 0 0
INFO  - 2014-01-30 14:26:05.439; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072867364864)]} 0 0
INFO  - 2014-01-30 14:26:05.537; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072969076736)]} 0 1
INFO  - 2014-01-30 14:26:05.547; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072979562496)]} 0 1
INFO  - 2014-01-30 14:26:05.554; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072987951104)]} 0 1
INFO  - 2014-01-30 14:26:05.565; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072999485440)]} 0 1
INFO  - 2014-01-30 14:26:05.572; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073006825472)]} 0 0
INFO  - 2014-01-30 14:26:05.579; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073014165504)]} 0 0
INFO  - 2014-01-30 14:26:05.586; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073021505536)]} 0 1
INFO  - 2014-01-30 14:26:05.594; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073028845568)]} 0 1
INFO  - 2014-01-30 14:26:05.601; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073036185600)]} 0 1
INFO  - 2014-01-30 14:26:05.608; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073044574208)]} 0 1
INFO  - 2014-01-30 14:26:05.616; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073052962816)]} 0 1
INFO  - 2014-01-30 14:26:05.624; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073060302848)]} 0 1
INFO  - 2014-01-30 14:26:05.631; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073068691456)]} 0 1
INFO  - 2014-01-30 14:26:05.638; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073074982912)]} 0 1
INFO  - 2014-01-30 14:26:05.644; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073082322944)]} 0 0
INFO  - 2014-01-30 14:26:05.651; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073089662976)]} 0 0
INFO  - 2014-01-30 14:26:05.658; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073097003008)]} 0 0
INFO  - 2014-01-30 14:26:05.665; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073104343040)]} 0 0
INFO  - 2014-01-30 14:26:05.673; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073111683072)]} 0 1
INFO  - 2014-01-30 14:26:05.680; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073119023104)]} 0 1
INFO  - 2014-01-30 14:26:05.687; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073126363136)]} 0 1
INFO  - 2014-01-30 14:26:05.694; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073134751744)]} 0 1
INFO  - 2014-01-30 14:26:05.701; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073142091776)]} 0 0
INFO  - 2014-01-30 14:26:05.709; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073150480384)]} 0 1
INFO  - 2014-01-30 14:26:05.720; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073160966144)]} 0 1
INFO  - 2014-01-30 14:26:05.727; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073169354752)]} 0 1
INFO  - 2014-01-30 14:26:05.738; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073179840512)]} 0 1
INFO  - 2014-01-30 14:26:05.749; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073191374848)]} 0 1
INFO  - 2014-01-30 14:26:05.756; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073199763456)]} 0 1
INFO  - 2014-01-30 14:26:05.763; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692073207103488)]} 0 1
